Date,Year,Month,MonthName,Quarter,QuarterName,WeekOfYear,DayOfWeek,DayName,IsWeekend,IsHoliday
2022-01-01,2022,1,January,1,Q1,52,6,Saturday,1,1
2022-01-02,2022,1,January,1,Q1,52,7,Sunday,1,0
2022-01-03,2022,1,January,1,Q1,1,1,Monday,0,0
2022-01-04,2022,1,January,1,Q1,1,2,Tuesday,0,0
2022-01-05,2022,1,January,1,Q1,1,3,Wednesday,0,0
2022-01-06,2022,1,January,1,Q1,1,4,Thursday,0,0
2022-01-07,2022,1,January,1,Q1,1,5,Friday,0,0
2022-01-08,2022,1,January,1,Q1,1,6,Saturday,1,0
2022-01-09,2022,1,January,1,Q1,1,7,Sunday,1,0
2022-01-10,2022,1,January,1,Q1,2,1,Monday,0,0
2022-01-11,2022,1,January,1,Q1,2,2,Tuesday,0,0
2022-01-12,2022,1,January,1,Q1,2,3,Wednesday,0,0
2022-01-13,2022,1,January,1,Q1,2,4,Thursday,0,0
2022-01-14,2022,1,January,1,Q1,2,5,Friday,0,0
2022-01-15,2022,1,January,1,Q1,2,6,Saturday,1,0
2022-01-16,2022,1,January,1,Q1,2,7,Sunday,1,0
2022-01-17,2022,1,January,1,Q1,3,1,Monday,0,0
2022-01-18,2022,1,January,1,Q1,3,2,Tuesday,0,0
2022-01-19,2022,1,January,1,Q1,3,3,Wednesday,0,0
2022-01-20,2022,1,January,1,Q1,3,4,Thursday,0,0
2022-01-21,2022,1,January,1,Q1,3,5,Friday,0,0
2022-01-22,2022,1,January,1,Q1,3,6,Saturday,1,0
2022-01-23,2022,1,January,1,Q1,3,7,Sunday,1,0
2022-01-24,2022,1,January,1,Q1,4,1,Monday,0,0
2022-01-25,2022,1,January,1,Q1,4,2,Tuesday,0,0
2022-01-26,2022,1,January,1,Q1,4,3,Wednesday,0,0
2022-01-27,2022,1,January,1,Q1,4,4,Thursday,0,0
2022-01-28,2022,1,January,1,Q1,4,5,Friday,0,0
2022-01-29,2022,1,January,1,Q1,4,6,Saturday,1,0
2022-01-30,2022,1,January,1,Q1,4,7,Sunday,1,0
2022-01-31,2022,1,January,1,Q1,5,1,Monday,0,0
2022-02-01,2022,2,February,1,Q1,5,2,Tuesday,0,0
2022-02-02,2022,2,February,1,Q1,5,3,Wednesday,0,0
2022-02-03,2022,2,February,1,Q1,5,4,Thursday,0,0
2022-02-04,2022,2,February,1,Q1,5,5,Friday,0,0
2022-02-05,2022,2,February,1,Q1,5,6,Saturday,1,0
2022-02-06,2022,2,February,1,Q1,5,7,Sunday,1,0
2022-02-07,2022,2,February,1,Q1,6,1,Monday,0,0
2022-02-08,2022,2,February,1,Q1,6,2,Tuesday,0,0
2022-02-09,2022,2,February,1,Q1,6,3,Wednesday,0,0
2022-02-10,2022,2,February,1,Q1,6,4,Thursday,0,0
2022-02-11,2022,2,February,1,Q1,6,5,Friday,0,0
2022-02-12,2022,2,February,1,Q1,6,6,Saturday,1,0
2022-02-13,2022,2,February,1,Q1,6,7,Sunday,1,0
2022-02-14,2022,2,February,1,Q1,7,1,Monday,0,0
2022-02-15,2022,2,February,1,Q1,7,2,Tuesday,0,0
2022-02-16,2022,2,February,1,Q1,7,3,Wednesday,0,0
2022-02-17,2022,2,February,1,Q1,7,4,Thursday,0,0
2022-02-18,2022,2,February,1,Q1,7,5,Friday,0,0
2022-02-19,2022,2,February,1,Q1,7,6,Saturday,1,0
2022-02-20,2022,2,February,1,Q1,7,7,Sunday,1,0
2022-02-21,2022,2,February,1,Q1,8,1,Monday,0,0
2022-02-22,2022,2,February,1,Q1,8,2,Tuesday,0,0
2022-02-23,2022,2,February,1,Q1,8,3,Wednesday,0,0
2022-02-24,2022,2,February,1,Q1,8,4,Thursday,0,0
2022-02-25,2022,2,February,1,Q1,8,5,Friday,0,0
2022-02-26,2022,2,February,1,Q1,8,6,Saturday,1,0
2022-02-27,2022,2,February,1,Q1,8,7,Sunday,1,0
2022-02-28,2022,2,February,1,Q1,9,1,Monday,0,0
2022-03-01,2022,3,March,1,Q1,9,2,Tuesday,0,0
2022-03-02,2022,3,March,1,Q1,9,3,Wednesday,0,0
2022-03-03,2022,3,March,1,Q1,9,4,Thursday,0,0
2022-03-04,2022,3,March,1,Q1,9,5,Friday,0,0
2022-03-05,2022,3,March,1,Q1,9,6,Saturday,1,0
2022-03-06,2022,3,March,1,Q1,9,7,Sunday,1,0
2022-03-07,2022,3,March,1,Q1,10,1,Monday,0,0
2022-03-08,2022,3,March,1,Q1,10,2,Tuesday,0,0
2022-03-09,2022,3,March,1,Q1,10,3,Wednesday,0,0
2022-03-10,2022,3,March,1,Q1,10,4,Thursday,0,0
2022-03-11,2022,3,March,1,Q1,10,5,Friday,0,0
2022-03-12,2022,3,March,1,Q1,10,6,Saturday,1,0
2022-03-13,2022,3,March,1,Q1,10,7,Sunday,1,0
2022-03-14,2022,3,March,1,Q1,11,1,Monday,0,0
2022-03-15,2022,3,March,1,Q1,11,2,Tuesday,0,0
2022-03-16,2022,3,March,1,Q1,11,3,Wednesday,0,0
2022-03-17,2022,3,March,1,Q1,11,4,Thursday,0,0
2022-03-18,2022,3,March,1,Q1,11,5,Friday,0,0
2022-03-19,2022,3,March,1,Q1,11,6,Saturday,1,0
2022-03-20,2022,3,March,1,Q1,11,7,Sunday,1,0
2022-03-21,2022,3,March,1,Q1,12,1,Monday,0,0
2022-03-22,2022,3,March,1,Q1,12,2,Tuesday,0,0
2022-03-23,2022,3,March,1,Q1,12,3,Wednesday,0,0
2022-03-24,2022,3,March,1,Q1,12,4,Thursday,0,0
2022-03-25,2022,3,March,1,Q1,12,5,Friday,0,0
2022-03-26,2022,3,March,1,Q1,12,6,Saturday,1,0
2022-03-27,2022,3,March,1,Q1,12,7,Sunday,1,0
2022-03-28,2022,3,March,1,Q1,13,1,Monday,0,0
2022-03-29,2022,3,March,1,Q1,13,2,Tuesday,0,0
2022-03-30,2022,3,March,1,Q1,13,3,Wednesday,0,0
2022-03-31,2022,3,March,1,Q1,13,4,Thursday,0,0
2022-04-01,2022,4,April,2,Q2,13,5,Friday,0,0
2022-04-02,2022,4,April,2,Q2,13,6,Saturday,1,0
2022-04-03,2022,4,April,2,Q2,13,7,Sunday,1,0
2022-04-04,2022,4,April,2,Q2,14,1,Monday,0,0
2022-04-05,2022,4,April,2,Q2,14,2,Tuesday,0,0
2022-04-06,2022,4,April,2,Q2,14,3,Wednesday,0,0
2022-04-07,2022,4,April,2,Q2,14,4,Thursday,0,0
2022-04-08,2022,4,April,2,Q2,14,5,Friday,0,0
2022-04-09,2022,4,April,2,Q2,14,6,Saturday,1,0
2022-04-10,2022,4,April,2,Q2,14,7,Sunday,1,0
2022-04-11,2022,4,April,2,Q2,15,1,Monday,0,0
2022-04-12,2022,4,April,2,Q2,15,2,Tuesday,0,0
2022-04-13,2022,4,April,2,Q2,15,3,Wednesday,0,0
2022-04-14,2022,4,April,2,Q2,15,4,Thursday,0,0
2022-04-15,2022,4,April,2,Q2,15,5,Friday,0,0
2022-04-16,2022,4,April,2,Q2,15,6,Saturday,1,0
2022-04-17,2022,4,April,2,Q2,15,7,Sunday,1,0
2022-04-18,2022,4,April,2,Q2,16,1,Monday,0,0
2022-04-19,2022,4,April,2,Q2,16,2,Tuesday,0,0
